project_no|year|source_url|source_page|project_name|project_description|sector|ward|zone|location|work_item
13|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS AT MAUNGA PRIMARY SCHOOL|PROCUREMENTOF200 DESKS ATL MAUNGA PRIMARY SCHOOL|EDUCATION|IB8WEMUNYAMA|MUIUNCA|MAUNGA-EOMNUNITKSQHOOL|
14|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|PROCUREMENT OF DESKS AT4 MILES COMMUNITY SCHOOL|PROCUREMENT OF 1OO DESKS FOR FOUR MILES COMMINUTY SCHOOL|EDUCATION||"REPUBLICOF ZAMBIA CHIRUNDU WESCHIRUNDU DIST|BUTCQLINCIL}"||
15|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION OF MATERNITY WING AT CHIBENDE CLINIC|CONSTRUCTION OF MATERNITY WINGS AT CHIBENDE CLINIC|HEALTH|CHIRUNDU WES|HIB NDE|2024 CHIBENDE CLINIC|
16|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|1|CONSTRUCTION OF DOMITORY AT NGOMBE ILEDE SECONDARY SCHOOL|CONSTRUCTION OF GIRLS DORMITORY AT NGOMBE ILEDE SECONDARY SCHOOL|EDUCATION|NGOMBE ILEDE|OFFICE OF THE COUNCIL SECRETARY P.O.BX30. CHIRUNDU PAMBAZANA|NGOMBE ILEDE|
17|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|REHABILITAION OF THE LUSITU WATER RETICULATION SYSTEM|Rehabilitation of Lusitu Water System to include Chilindi,Machavika,Chibulameenda,extensio n from Siamaundu to Siabulembo|WATER|LUSITU,NJAME,NGOM BE ILEDE||LUSITU|
18|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|DRILLING AND EQUIPPING OF BOREHOLE AT NABBANDA CLINIC|DRILLING AND EQUIPPING OF SOLAR POWRED BOREHOLEAT NABBANDAWATER CLINIC||KANYANGA|NABBANDA|NABBANDA CLINI|
19|2023|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2023-CDF-approved-projects.pdf|2|INSTALLATION OF WATER SUPPLY NETWORK IN CHIRUNDU CENTRAL WARI|EXTENSION OF WATER SUPPLY IN KANENGUMBO,KADUNGA AND MANDENGAWATER VILLAGE||CHIRUNDU CENTRAL||KANEGUMBO,MANDENGA AND KADUNGA VILLAGE|
1|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X2 CRE,INSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLE, CONSTRUCTION OF TOILETS, AT ZALAUNGA PRIMARY SCHOOL||Education|MUSAYA|||
2|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X3 CRB ATSIKOONGO SKILLS CENTER||Community Development|SIKOONGO|||
3|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF TOILETS AT SIKOONGO SKILLS CENTER||Sanitation|STKOONGO|||
4|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|UPGRADING OF SOLAR POWEREDBOREHOLES;HAMBEZO SCHOOL, MWEEMBA VILLAGE& CHINEUUNI VILLAGE||Water|KANYANGA|||
5|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1XG CRB &ABLUTION BLOCK AT NAMABUYU SCHOOL||Education|NIAME|||
6|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF TWO STAFF HOUSES AT PAMBAZANA PRIMARY SCHOOL||Education|NGOMBE ILEDE|||
7|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|INSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLE AT MATEAUNGA HEALTH POST||Water|NKANDABBWE|||
8|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF STAFF HOUSE AT LUSITU EAST PRIMARY SCHOOL||Education|LUSITU|||
9|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1X3 CRB,ABLUTION,INSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLE AT MAUNGA||Education|IBBWEMUNYAMA|||
10|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF STAFF HOUSE, ABLUTION BLOCK AND SOLAR POWERED BOREHOLE AT SIABULEMBO PRIMARY SCHOOL||Education|MUSHUNGU|||
11|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|INSTALLATION OF SOLARPOWERED WATER SYSTEMIN KAPULULIRA||Water|KAPULULIRA|||
12|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|CONSTRUCTION OF 1XG CRB, ABLUTION BLOCKINSTALLATION AND EQUIPPING OF SOLAR POWERED BOREHOLES AT CHIPEPO COMMUNITY SCHOOL||Education|CHIRUNDU-WEST|||
13|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|PURCHASE OF DESKS||Education||||
14|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|PURCHASE OF AMBULANCE||Health||||
15|2024|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/2024-CDF-approved-projects.pdf|1|15[PROCUREMENT OF MOTORBIKES||Traditional Affairs||||
1|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Construction of 1x3 CRB,1 Staff house, A solar powered boreholeand Maternity Annex|||Ibbwemunyama|Hachipilika|Hachipilika|2 Bedroom Staff House
2|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Construction of a 2 No.1x3 CRB,1 Ablution Block,2 Staff Houses and 1 borehole|||Njame|Chilindi Namabuyu|Chilindi Primary School Namabuyu Primary School|Staff houses 1 solar powered borehole
3|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Construction of sports facitity (phase 2)|||Chirundu Central|Mandenga|Mandenga|Construction of sports facility (phase 2- Construction of Terraces,Wire fencing of football pitch,Grand stand and water reticulation)
4|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Solar Powered Boreholes|||Kanyanga|||Solar Powered Boreholes
5|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Construction of 3 no. Crossing Points in Simaundu|||Mushungu|Siabulembu|Siabulembu|Siabulembo road PEPHRLICOEZAMBIA
6|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|Construction of 1x3CRB and Ablution Block at Sianzembwe|||Ngombe Ilede|Sianzembwe|Sianzembwe community|1x3 CR8 ?7 MAY 2026
7|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Construction of 2 bedroomed staff house|||Lusitu|||2 Bedroom Staff House
8|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Construction of 2 Staff Houses at Shangwemu|||Musaya|Shangwemu|Shyangwemu clinic|2 Bedroom Staff Houses
9|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Water Reticulation system in Chibende & Lusumpuko|||Chirundu West|Chibende & Lusumpuko|Chibende and Lusumpuko|Water Reticulation system in Chibende & Lusumpuko
10|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Water Reticulation in Mateaunga|||Nkaddabwe|Nkaddabwe|Mateaungu|Water Reticulation
11|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Construction of 1 teachers Houses and Ablution Block in Chiwena|||Kapululira|Chiwena|Chiwena|1 staff Houses
12|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Construction of Staff House at Hachibubba School|||Sikoongo|Hachibbuba|Hachibbuba|1 staff House
13|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Construction of Solar Powered Borehole|||Sikoongo|Hachibbuba|Hachibbuba|1 Solar Powered Borehole
14|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Completion of 2 Staff Houses at Pambazana Primary School (2024 project)|||Ngombe Ilede|Pambazana|Pambazana School|Completion of P 2 Staff Houses at pambazana Primary (2024 project)
15|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Completion of Siabulembo Staff House and Ablution Block(2024 Project)|||Mushungu|Siabulembo|Siabulembo School|Completion of Siabulembo Staff House and Ablution Block(2024 Project)
16|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|Vanation (Construction of 2 courses and columns at stadium)|||Chirundu Central||Sports Facility|Construction of 2 courses and supports
17|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|Maintenance of heavy duty machinery|||All wards|||
18|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|Presidential Constituency Energy Initiative (PCEI)|||All Wards|||
19|2026|http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|"19|Procurement of Desks"|||All Wards|||
