fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2024|revenue_detail|Fees and Charges|Building Inspection Fees|24535|10900|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Plan Scrutiny Fees|38581|25043|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Rentals/Lease of Council Properties|500|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Application Form Fees|0|119860|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Search Fees|50|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Market Fees|41539|26972|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Motor Vehicle Fees|19535733|17835414|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Bus Station Fees|22104|20460|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Affidavit Fees|0|500|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Refuse Disposal Fees|109447|68386|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Notice of Marriage|16950|11090|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Abbattoir/Meat Inspection Fees|0|142|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Communication Mast Levy|25000|29330|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Land Record|0|3000|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Billboard and Banner|58450|47960|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Lease of Council Transport|182485|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Illegal Vending Fees|900|450|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Penalties|33330|68671|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Change of Ownership of Plot|4000|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Change of Land Use|21850|19000|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Ntemba Fees|2000|1400|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Truck Parking|0|64950|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Registration of Clubs and Societies|12350|104090|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Ablution Fees|63336|106123|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Electricity & Water Connections|870|5805|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Fees and Charges|Other Fees and Charges|10250|5805|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Land Development Charges|Service Charges - Residential Plots|72200|312500|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Land Development Charges|Service Charges - Industrial Plots|2900|59950|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|26
2024|revenue_detail|Licences|Occupancy Licence|5000|8000|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Hawkers Licence|3600|6100|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Lodger Licence|1800|5400|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Liquor Licence|193440|115300|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Firearm and Ammunition Licence|28135|19950|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Petroleum Licence|136330|66130|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Licences|Dog Licence|3572|20|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|27
2024|revenue_detail|Levies|Livestock Levy|55032|21590|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Levies|Pole Levy|270|150|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Levies|Charcoal Levy|1113|0|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Levies|Sand Levy|59735|55800|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Levies|Crop Levy|26319|39786|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Levies|Miscellaneous Levies|43709|43255|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Health Permit|411867|229570|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Burial Permits and Grave Sites|15200|5198|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Fire Certificates|425644|358290|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Public Permits (Social Gatherings)|1350|8650|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Distributor Permit|66750|69450|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Herbalist Permit|720|870|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Business Permit|1060589|829316|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
2024|revenue_detail|Permits|Other Permits|91274|8500|||||||Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|28
