fiscal_year|record_type|section|line_item|amount_current_zmw|amount_prior_zmw|approved_budget_zmw|actual_zmw|variance_zmw|variance_pct|is_material_variance|notes|source_document|source_page
2023|revenue_detail|Licences|Dog Licence|20.0|7085.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|23
2023|revenue_detail|Levies|Livestock Levy|21590.0|22310.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Levies|Fish Levy|150.0|1031.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Levies|Charcoal Levy|55800.0|42843.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Levies|Sand Levy|39786.0|27060.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Levies|Crop Levy|43255.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Levies|Miscellaneous Levies|2607.0|45893.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Health Permit|229570.0|82925.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Burial Permits and Grave Sites|5198.0|2200.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Fire Certificates|358290.0|176225.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Extension of Business Hours Permits|12764.0|13900.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Public Permits (Social Gatherings)|8650.0|2134.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Distributor Permit|69450.0||||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Herbalist Permit|870.0|870.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Business Permit|829316.0|882125.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
2023|revenue_detail|Permits|Other Permits|8500.0|4480.0|||||||Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|24
