year|statement|section|subsection|row_type|description|source_url|source_page|notes|final_budget_zmw|actual_amount_zmw|calculated_variance_zmw
2022|Budget comparison|payments||total|TOTAL PAYMENTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||50030983.0|28353881.0|-21677102.0
2022|Budget comparison|cash balance||balance|Increase/(Decrease) in Cash|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12|||15628547.0|
2023|Budget comparison|receipts||detail|Local Taxes|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||450730.0|325162.0|-125568.0
2023|Budget comparison|receipts||detail|Fees and Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||12154054.0|19134695.0|6980641.0
2023|Budget comparison|receipts||detail|Licences|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||323550.0|220900.0|-102650.0
2023|Budget comparison|receipts||detail|Levies|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||141750.0|163188.0|21438.0
2023|Budget comparison|receipts||detail|Permits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||1920300.0|1522608.0|-397692.0
2023|Budget comparison|receipts||detail|Local Government Equalisation Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||9420695.0|8833102.0|-587593.0
2023|Budget comparison|receipts||detail|Constituency Development Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||28300000.0|27261470.0|-1038530.0
2023|Budget comparison|receipts||detail|Other Grants(Grant in Lieu of Rates)|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||150000.0|12020.0|-137980.0
2023|Budget comparison|receipts||detail|Borrowings|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||||
2023|Budget comparison|receipts||detail|Commercial Venture|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12|||77958.0|
2023|Budget comparison|receipts||detail|Other Receipts|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||204686.0|317360.0|112674.0
2023|Budget comparison|receipts||total|TOTAL RECEIPTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||53065765.0|57868462.0|4802697.0
2023|Budget comparison|payments||detail|Personal Emoluments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||13087048.0|14807445.0|1720397.0
2023|Budget comparison|payments||detail|Use of Goods and Services|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||11359006.0|15921998.0|4562992.0
2023|Budget comparison|payments||detail|Financial Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||||
2023|Budget comparison|payments||detail|Social Benefits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||7527800.0|9500657.0|1972857.0
2023|Budget comparison|payments||detail|Non-Financial Assets Acquisition|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||17865711.0|15097519.0|-2768192.0
2023|Budget comparison|payments||detail|Financial Assets|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||3226200.0|5964128.0|2737928.0
2023|Budget comparison|payments||detail|Loan Repayments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||||
2023|Budget comparison|payments||detail|Other Payments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||||
2023|Budget comparison|payments||total|TOTAL PAYMENTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12||53065765.0|61291747.0|8225982.0
2023|Budget comparison|cash balance||balance|Increase/(Decrease) in Cash|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/10/Financial-Statement-2023-Signed-by-Council-Auditor-General.pdf|12|||-3423284.0|
2024|Budget comparison|receipts||detail|Local Taxes|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||934214.0|486568.0|-447646.0
2024|Budget comparison|receipts||detail|Fees and Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||25175998.0|20310710.0|-4865288.0
2024|Budget comparison|receipts||detail|Licences|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||355050.0|371877.0|16827.0
2024|Budget comparison|receipts||detail|Levies|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||133900.0|186848.0|52948.0
2024|Budget comparison|receipts||detail|Permits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||2007550.0|2073393.0|65843.0
2024|Budget comparison|receipts||detail|Local Government Equalisation Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||9708895.0|9393949.0|-314946.0
2024|Budget comparison|receipts||detail|Constituency Development Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||30635642.0|10675337.0|-19960305.0
2024|Budget comparison|receipts||detail|Other Grants|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||2694736.0|2694736.0|0.0
2024|Budget comparison|receipts||detail|Borrowings|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||||
2024|Budget comparison|receipts||detail|Commercial Venture|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||496090.0|200401.0|-295689.0
2024|Budget comparison|receipts||detail|Other Grants (Devolved)|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||6620111.0|8154778.0|1534667.0
2024|Budget comparison|receipts||detail|Other Receipts|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||1000000.0|387000.0|-613000.0
2024|Budget comparison|receipts||total|TOTAL RECEIPTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||79762187.0|54935597.0|-24826590.0
2024|Budget comparison|payments||detail|Personal Emoluments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||21037626.0|18947844.0|-2089782.0
2024|Budget comparison|payments||detail|Use of Goods and Services|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||18363859.0|17169941.0|-1193918.0
2024|Budget comparison|payments||detail|Financial Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||||
2024|Budget comparison|payments||detail|Social Benefits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||8149081.0|7662922.0|-486159.0
2024|Budget comparison|payments||detail|Non-Financial Assets Acquisition|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||28719158.0|18554528.0|-10164630.0
2024|Budget comparison|payments||detail|Financial Assets|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||3492463.0|307185.0|-3185278.0
2024|Budget comparison|payments||detail|Loan Repayments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||||
2024|Budget comparison|payments||detail|Other Payments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13|||1386598.0|
2024|Budget comparison|payments||total|TOTAL PAYMENTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2025/11/Financial-Statement-2024-CTC-Signed-by-Council-Auditor-Generals-Office.pdf|13||79762187.0|64029018.0|-15733169.0
