year|category|revenue_code|revenue_description|amount_zmw|source_url|source_page|notes
2023|Levies|006|Sand levy|44000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Levies|099|Miscellaneous levies|30000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|001|Health permits|300000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|003|Herbalist permit|1000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|006|Transportation of opaque beer|12000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|007|Nursery , pre school permits|31550.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|008|Burial permits and grave sites|1000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|009|Fire certificate|355400.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|010|Extension of business hours permits|72000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|011|Public permits (social gatherings, etc.)|6250.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Permits|099|Other permits|1141100.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Charges|001|Service Charges – Residential plots|950000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Charges|002|Service Charges – Industrial plots|100000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|Other Incomes|099|Other income|204686.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
2023|National Support (Grants)|001|Grant in lieu or Rates|150000.0|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/11/Chirundu-Town-Council-OBB-Budget-2023-Final.pdf|4|
